Keyword,Volume US,Volume UK,Volume DE,Volume IT,Volume FR,Difficulty,Intent,Cluster,Dominio Assegnato,Funnel Stage,Priorità,Rischio Cannibalizzazione,Note,Source,Data Aggiornamento
"merino wool t-shirt",14190,7580,4040,300,0,35,BOFU,C6 Semantic Defense,perfectmerinoshirt.com,BOFU,P1,Basso,Core seed C6 — highest conversion rate (12%). Keyword cornerstone per semantic moat,SEMrush KMT,2026-03-10
"smart casual men",70050,132260,9450,0,0,40,TOFU,C2 Business Professional,worldofmerino.com,TOFU,P3,Nessuno,Highest volume cluster in EN markets. Broad seed — 3% relevance netta per Albeni,SEMrush KMT,2026-03-10
"best t-shirt men",51980,15230,0,0,0,45,TOFU,C1 Heritage Mature,worldofmerino.com,TOFU,P3,Nessuno,Very broad seed — 2% relevance netta. Content pillar opportunity,SEMrush KMT,2026-03-10
"italian clothing brands",17920,5290,640,0,0,30,TOFU,C4 Italian Authentic,worldofmerino.com,TOFU,P3,Nessuno,8% relevance. Strong brand + origin authority builder,SEMrush KMT,2026-03-10
"capsule wardrobe men",8390,4000,300,40,0,28,TOFU,C5 Modern Minimalist,worldofmerino.com,TOFU,P3,Nessuno,10% relevance. Minimalist lifestyle content pillar,SEMrush KMT,2026-03-10
"t-shirt uomo elegante",0,0,0,3810,0,38,MOFU,C1 Heritage Mature,perfectmerinoshirt.com,MOFU,P1,Basso,Top IT keyword per C1. Focus conversione mercato italiano,SEMrush KMT,2026-03-10
"premium t-shirt men",2240,1040,580,0,0,32,MOFU,C1 Heritage Mature,perfectmerinoshirt.com,MOFU,P2,Nessuno,Cross-market EN+DE. Content comparativo per MOFU,SEMrush KMT,2026-03-10
"t-shirt under blazer",1110,410,30,120,0,22,MOFU,C2 Business Professional,perfectmerinoshirt.com,MOFU,P2,Nessuno,High-intent sotto-giacca query. Perfetto per PMS product pages,SEMrush KMT,2026-03-10
"made in italy t-shirt",370,200,100,1050,0,20,MOFU,C4 Italian Authentic,albeni1905.com,MOFU,P2,Nessuno,Brand + origin keyword. Forte in IT (1050). MOFU → albeni1905,SEMrush KMT,2026-03-10
"sustainable t-shirt men",260,150,190,120,0,25,MOFU,C3 Conscious Premium,merinouniversity.com,MOFU,P2,Nessuno,Lower volume ma highest organic conversion potential,SEMrush KMT,2026-03-10
"mens wardrobe essentials",4510,1200,0,0,0,24,TOFU,C5 Modern Minimalist,worldofmerino.com,TOFU,P3,Nessuno,Supporting seed per C5 capsule wardrobe content,SEMrush KMT,2026-03-10
"wool t-shirt men",2870,1650,0,0,0,30,MOFU,C6 Semantic Defense,merinouniversity.com,MOFU,P2,Nessuno,Semantic defense — material-specific query. EDU content,SEMrush KMT,2026-03-10
"quality mens clothing",5020,0,0,0,0,35,TOFU,C1 Heritage Mature,worldofmerino.com,TOFU,P3,Nessuno,US only. Quality positioning — brand authority builder,SEMrush KMT,2026-03-10
"luxury t-shirt brands",1070,0,0,0,0,28,MOFU,C1 Heritage Mature,perfectmerinoshirt.com,MOFU,P2,Nessuno,US only. Premium positioning MOFU content,SEMrush KMT,2026-03-10
"sustainable fashion men",630,0,0,0,0,22,TOFU,C3 Conscious Premium,worldofmerino.com,TOFU,P3,Nessuno,US only. Sustainability TOFU content pillar,SEMrush KMT,2026-03-10
"lana merino 17 micron",0,0,1100,1200,800,25,TOFU,C6 Semantic Defense,merinouniversity.com,TOFU,P1,Basso,Keyword cornerstone educational. Multi-market IT/DE/FR. Ranking IT pos 8,SEMrush KMT,2026-03-10
"t-shirt merino uomo",0,0,2000,2800,1200,45,BOFU,C6 Semantic Defense,perfectmerinoshirt.com,BOFU,P1,Basso,Focus conversione. Forte IT+DE+FR. Ranking IT pos 12,SEMrush KMT,2026-03-10
